score in petite section,score in moyenne section,score in grande section
1.36,2.07,7.63
0.24,3.60,5.79
0.22,2.57,7.38
0.11,4.29,8.50
1.25,5.67,5.75
0.24,1.67,4.83
0.35,2.43,5.38
0.24,4.72,7.75
1.60,7.67,7.54
0.63,3.83,8.38
0.68,5.13,7.50
0.00,2.31,6.17
1.44,1.00,5.68
1.86,3.74,7.25
3.47,6.64,7.54
0.58,3.39,5.64
0.00,2.36,6.46
0.82,6.75,7.50
2.75,5.13,8.75
3.14,8.00,9.00
1.58,7.08,7.25
2.83,6.01,7.42
1.92,6.25,6.58
0.83,2.61,8.25
2.47,3.61,7.46
1.13,2.67,7.21
1.72,5.24,7.50
0.61,1.56,8.17
0.35,1.89,6.96
1.11,4.06,8.00
1.24,3.11,6.92
2.36,4.00,5.71
0.50,2.89,7.00
